source,output,recovery_rate,unresolved_opcodes,cfg_anomalies,function_links_missing,detached_functions
src_jsc/AnySdk/AnySdkHelp_js.jsc,src_jsc/AnySdk/AnySdkHelp_js.js,1.0,{},2,0,0
src_jsc/Audio/Engine.jsc,src_jsc/Audio/Engine.js,1.0,{},1,0,0
src_jsc/Cfg/String.jsc,src_jsc/Cfg/String.js,0.989362,"{""enterblock"": 1, ""exception"": 1, ""leaveblock"": 1, ""try"": 1}",0,0,0
src_jsc/Core/Cocos2d-x/jsb_cocos2d.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d.js,0.999152,"{""regexp"": 3}",5,0,0
src_jsc/Core/Cocos2d-x/jsb_cocos2d_studio.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d_studio.js,1.0,{},1,0,0
src_jsc/Core/Cocos2d-x/jsb_debugger.jsc,src_jsc/Core/Cocos2d-x/jsb_debugger.js,0.993998,"{""enterblock"": 1, ""exception"": 1, ""leaveblock"": 2, ""regexp"": 6, ""retrval"": 1, ""setrval"": 1, ""try"": 1}",3,0,0
src_jsc/Core/Cocos2d-x/main.debug.jsc,src_jsc/Core/Cocos2d-x/main.debug.js,1.0,{},1,0,0
src_jsc/Debug/Debug.jsc,src_jsc/Debug/Debug.js,1.0,{},2,0,0
src_jsc/Factorys/Armature.jsc,src_jsc/Factorys/Armature.js,1.0,{},1,0,0
src_jsc/Factorys/Skill/Item/Timeline.jsc,src_jsc/Factorys/Skill/Item/Timeline.js,1.0,{},3,0,0
src_jsc/Factorys/Skill/Part.jsc,src_jsc/Factorys/Skill/Part.js,1.0,{},1,0,0
src_jsc/Factorys/Skill/Skill.jsc,src_jsc/Factorys/Skill/Skill.js,1.0,{},1,0,0
src_jsc/Guide/GuideMgr.jsc,src_jsc/Guide/GuideMgr.js,1.0,{},1,0,0
src_jsc/Models/Card.jsc,src_jsc/Models/Card.js,1.0,{},1,0,0
src_jsc/Models/Chat.jsc,src_jsc/Models/Chat.js,1.0,{},1,0,0
src_jsc/Models/ChatMessageManager.jsc,src_jsc/Models/ChatMessageManager.js,1.0,{},1,0,0
src_jsc/Models/Fight/FightRoundList.jsc,src_jsc/Models/Fight/FightRoundList.js,1.0,{},1,0,0
src_jsc/Models/Gems.jsc,src_jsc/Models/Gems.js,1.0,{},1,0,0
src_jsc/Models/Goddess.jsc,src_jsc/Models/Goddess.js,0.996519,"{""enditer"": 2, ""retrval"": 1, ""setrval"": 1}",2,0,0
src_jsc/Models/MagicalEqu.jsc,src_jsc/Models/MagicalEqu.js,1.0,{},1,0,0
src_jsc/Models/Mail.jsc,src_jsc/Models/Mail.js,1.0,{},1,0,0
src_jsc/Models/Skill.jsc,src_jsc/Models/Skill.js,1.0,{},0,0,0
src_jsc/Models/TmpInfo/Achieve.jsc,src_jsc/Models/TmpInfo/Achieve.js,1.0,{},1,0,0
src_jsc/Models/TmpInfo/Fight.jsc,src_jsc/Models/TmpInfo/Fight.js,1.0,{},1,0,0
src_jsc/Models/UnionWar.jsc,src_jsc/Models/UnionWar.js,1.0,{},1,0,0
src_jsc/Models/UnionWarFightingProcess.jsc,src_jsc/Models/UnionWarFightingProcess.js,1.0,{},2,0,0
src_jsc/Profile/GameData/Equipments.jsc,src_jsc/Profile/GameData/Equipments.js,1.0,{},3,0,0
src_jsc/Profile/GameData/Fate.jsc,src_jsc/Profile/GameData/Fate.js,1.0,{},2,0,0
src_jsc/Profile/GameData/Gems.jsc,src_jsc/Profile/GameData/Gems.js,1.0,{},1,0,0
src_jsc/Profile/GameData/Generals.jsc,src_jsc/Profile/GameData/Generals.js,1.0,{},1,0,0
src_jsc/Profile/GameData/Goddess.jsc,src_jsc/Profile/GameData/Goddess.js,1.0,{},2,0,0
src_jsc/Profile/GameData/Index.jsc,src_jsc/Profile/GameData/Index.js,1.0,{},1,0,0
src_jsc/Profile/GameData/Items.jsc,src_jsc/Profile/GameData/Items.js,1.0,{},2,0,0
src_jsc/Profile/GameData/common.jsc,src_jsc/Profile/GameData/common.js,1.0,{},1,0,0
src_jsc/Prototype/Object.jsc,src_jsc/Prototype/Object.js,1.0,{},2,0,0
src_jsc/Prototype/String.jsc,src_jsc/Prototype/String.js,0.995516,"{""regexp"": 1}",0,0,0
src_jsc/Scene/Awake/AwakeBoxView.jsc,src_jsc/Scene/Awake/AwakeBoxView.js,1.0,{},1,0,0
src_jsc/Scene/Bag/BagScene.jsc,src_jsc/Scene/Bag/BagScene.js,1.0,{},1,0,0
src_jsc/Scene/Beauty/BeautyScene.jsc,src_jsc/Scene/Beauty/BeautyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/CopyScene.jsc,src_jsc/Scene/Copy/CopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/DuanWuCopyScene.jsc,src_jsc/Scene/Copy/DuanWuCopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/LabourlCopyScene.jsc,src_jsc/Scene/Copy/LabourlCopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/MemorialCopyScene.jsc,src_jsc/Scene/Copy/MemorialCopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/PlantCopyScene.jsc,src_jsc/Scene/Copy/PlantCopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Copy/PublicCopyScene.jsc,src_jsc/Scene/Copy/PublicCopyScene.js,1.0,{},1,0,0
src_jsc/Scene/Fight/FightScene.jsc,src_jsc/Scene/Fight/FightScene.js,0.999938,"{""toid"": 1}",0,0,0
src_jsc/Scene/Gems/GemsScene.jsc,src_jsc/Scene/Gems/GemsScene.js,1.0,{},1,0,0
src_jsc/Scene/Party/RechargeRankDialog.jsc,src_jsc/Scene/Party/RechargeRankDialog.js,1.0,{},1,0,0
src_jsc/Scene/SceneMgr.jsc,src_jsc/Scene/SceneMgr.js,1.0,{},6,0,0
src_jsc/Scene/SubMenu/GeneralMenuScene.jsc,src_jsc/Scene/SubMenu/GeneralMenuScene.js,1.0,{},1,0,0
src_jsc/Tools/UI.jsc,src_jsc/Tools/UI.js,0.999603,"{""regexp"": 1}",1,0,0
src_jsc/Utils/Base64.jsc,src_jsc/Utils/Base64.js,0.997409,"{""regexp"": 4}",0,0,0
src_jsc/Utils/Md5.jsc,src_jsc/Utils/Md5.js,0.999597,"{""regexp"": 1}",0,0,0
src_jsc/Utils/buckets.jsc,src_jsc/Utils/buckets.js,1.0,{},2,0,0
src_jsc/Utils/common.jsc,src_jsc/Utils/common.js,1.0,{},6,0,0
src_jsc/Views/ActivitiesShow6Icon.jsc,src_jsc/Views/ActivitiesShow6Icon.js,1.0,{},1,0,0
src_jsc/Views/Awake/AwakeLayer.jsc,src_jsc/Views/Awake/AwakeLayer.js,1.0,{},1,0,0
src_jsc/Views/Card/Fight.jsc,src_jsc/Views/Card/Fight.js,1.0,{},4,0,0
src_jsc/Views/Dialog/AutoPracticeDialog.jsc,src_jsc/Views/Dialog/AutoPracticeDialog.js,1.0,{},1,0,0
src_jsc/Views/Dialog/AutoPracticeResultDialog.jsc,src_jsc/Views/Dialog/AutoPracticeResultDialog.js,1.0,{},1,0,0
src_jsc/Views/Dialog/FightResult.jsc,src_jsc/Views/Dialog/FightResult.js,1.0,{},0,0,0
src_jsc/Views/Dialog/UnionEncounterMapDialog.jsc,src_jsc/Views/Dialog/UnionEncounterMapDialog.js,1.0,{},4,0,0
src_jsc/Views/Dialog/UnionWarActivePromoteDialog.jsc,src_jsc/Views/Dialog/UnionWarActivePromoteDialog.js,1.0,{},1,0,0
src_jsc/Views/Gems/GemsBagView.jsc,src_jsc/Views/Gems/GemsBagView.js,1.0,{},1,0,0
src_jsc/Views/Gems/GemsComposeView.jsc,src_jsc/Views/Gems/GemsComposeView.js,1.0,{},1,0,0
src_jsc/Views/Gems/GemsPunchView.jsc,src_jsc/Views/Gems/GemsPunchView.js,1.0,{},1,0,0
src_jsc/Views/Gems/GemsSophisticationView.jsc,src_jsc/Views/Gems/GemsSophisticationView.js,1.0,{},1,0,0
src_jsc/Views/Goddess/GoddessMainView.jsc,src_jsc/Views/Goddess/GoddessMainView.js,1.0,{},1,0,0
src_jsc/Views/HulaoBattle/GarrisonLayoutDialog.jsc,src_jsc/Views/HulaoBattle/GarrisonLayoutDialog.js,1.0,{},2,0,0
src_jsc/Views/HulaoBattle/HulaoBattleMainView.jsc,src_jsc/Views/HulaoBattle/HulaoBattleMainView.js,0.980198,"{""call"": 2, ""callprop"": 2, ""dup"": 2, ""endinit"": 1, ""getprop"": 4, ""initprop"": 2, ""newinit"": 1, ""notearg"": 5, ""pop"": 2, ""stop"": 2, ""swap"": 2, ""tableswitch"": 1, ""this"": 6}",2,0,2
src_jsc/Views/HulaoBattle/LightenLuckDialog.jsc,src_jsc/Views/HulaoBattle/LightenLuckDialog.js,1.0,{},1,0,0
src_jsc/Views/Meridians/PracticeMeridiansMainView.jsc,src_jsc/Views/Meridians/PracticeMeridiansMainView.js,1.0,{},1,0,0
src_jsc/Views/Mgr.jsc,src_jsc/Views/Mgr.js,0.999302,"{""enterblock"": 1, ""exception"": 1, ""leaveblock"": 1, ""try"": 1}",0,0,0
src_jsc/Views/MiracleWeapons/MiracleWeaponLayer.jsc,src_jsc/Views/MiracleWeapons/MiracleWeaponLayer.js,1.0,{},1,0,0
src_jsc/Views/ShowTeamView.jsc,src_jsc/Views/ShowTeamView.js,1.0,{},1,0,0
src_jsc/Views/SkillRefining/RefiningSkillShowTableView.jsc,src_jsc/Views/SkillRefining/RefiningSkillShowTableView.js,1.0,{},1,0,0
src_jsc/Views/SkillRefining/RefiningSkillTableView.jsc,src_jsc/Views/SkillRefining/RefiningSkillTableView.js,1.0,{},2,0,0
src_jsc/Views/SkillRefining/SkillRefiningLayer.jsc,src_jsc/Views/SkillRefining/SkillRefiningLayer.js,1.0,{},1,0,0
src_jsc/Views/Table/BaseTableView.jsc,src_jsc/Views/Table/BaseTableView.js,1.0,{},1,0,0
src_jsc/Views/Union/UnionCombatMainLayer.jsc,src_jsc/Views/Union/UnionCombatMainLayer.js,1.0,{},2,0,0
src_jsc/Views/UpgradeGuideInMainView.jsc,src_jsc/Views/UpgradeGuideInMainView.js,1.0,{},1,0,0
src_jsc/Views/WorshipWinePopNode.jsc,src_jsc/Views/WorshipWinePopNode.js,1.0,{},2,0,0
src_jsc/main.jsc,src_jsc/main.js,1.0,{},3,0,0
