;; Input: /home/inkbottle/othersrc/android_playground/sgscq-reconstruction/Resources/assets/data_cn_jsc/plan/cfg_evolution_total_buff.jsc
;; XDR magic: 0xb973c051
;; SpiderMonkey v22 bytecode disassembly (debug build)


;; nested bytecode depth=0
--- SCRIPT /Users/yoka_dobest/svn/PublishJsToJsc/src_jsc_2.2.6/data_cn/plan/cfg_evolution_total_buff.js:1 ---
loc   line  op
----- ----  --
main:
00000:   1  name "xs"
00005:   1  getprop "Cfg"
00010:   1  getprop "System"
00015:   1  newinit 1
00020:   1  int32 52111006
00025:   1  newinit 1
00030:   1  one
00031:   1  newarray 8
00035:   1  newinit 1
00040:   1  int8 7
00042:   1  int8 10
00044:   1  initelem
00045:   1  endinit
00046:   1  initelem_array 0
00050:   1  newinit 1
00055:   1  int8 7
00057:   1  int8 10
00059:   1  initelem
00060:   1  int8 3
00062:   1  uint16 2000
00065:   1  initelem
00066:   1  endinit
00067:   1  initelem_array 1
00071:   1  newinit 1
00076:   1  int8 7
00078:   1  int8 10
00080:   1  initelem
00081:   1  int8 3
00083:   1  uint16 2000
00086:   1  initelem
00087:   1  int8 5
00089:   1  string "1"
00094:   1  initelem
00095:   1  endinit
00096:   1  initelem_array 2
00100:   1  newinit 1
00105:   1  int8 7
00107:   1  int8 10
00109:   1  initelem
00110:   1  int8 3
00112:   1  uint16 2000
00115:   1  initelem
00116:   1  int8 5
00118:   1  string "1"
00123:   1  initelem
00124:   1  int8 12
00126:   1  newinit 1
00131:   1  uint24 111001
00135:   1  newinit 1
00140:   1  one
00141:   1  uint16 500
00144:   1  initelem
00145:   1  endinit
00146:   1  initelem
00147:   1  endinit
00148:   1  initelem
00149:   1  endinit
00150:   1  initelem_array 3
00154:   1  newinit 1
00159:   1  int8 7
00161:   1  int8 10
00163:   1  initelem
00164:   1  int8 3
00166:   1  uint16 2000
00169:   1  initelem
00170:   1  int8 5
00172:   1  string "1"
00177:   1  initelem
00178:   1  int8 12
00180:   1  newinit 1
00185:   1  uint24 111001
00189:   1  newinit 1
00194:   1  one
00195:   1  uint16 500
00198:   1  initelem
00199:   1  endinit
00200:   1  initelem
00201:   1  endinit
00202:   1  initelem
00203:   1  int8 8
00205:   1  double 2.5
00210:   1  initelem
00211:   1  endinit
00212:   1  initelem_array 4
00216:   1  newinit 1
00221:   1  int8 7
00223:   1  int8 10
00225:   1  initelem
00226:   1  int8 3
00228:   1  uint16 2000
00231:   1  initelem
00232:   1  int8 5
00234:   1  string "1"
00239:   1  initelem
00240:   1  int8 12
00242:   1  newinit 1
00247:   1  uint24 111001
00251:   1  newinit 1
00256:   1  one
00257:   1  uint16 500
00260:   1  initelem
00261:   1  endinit
00262:   1  initelem
00263:   1  endinit
00264:   1  initelem
00265:   1  int8 8
00267:   1  double 2.5
00272:   1  initelem
00273:   1  int8 2
00275:   1  uint16 500
00278:   1  initelem
00279:   1  endinit
00280:   1  initelem_array 5
00284:   1  newinit 1
00289:   1  int8 7
00291:   1  int8 15
00293:   1  initelem
00294:   1  int8 3
00296:   1  uint16 2000
00299:   1  initelem
00300:   1  int8 5
00302:   1  string "1"
00307:   1  initelem
00308:   1  int8 12
00310:   1  newinit 1
00315:   1  uint24 111001
