from,to,scope,function,literal,disasm_line
src_jsc/AnySdk/headers.jsc,src_jsc/AnySdk/AnySdkConst.jsc,top-level,,AnySdk/AnySdkConst.js,27
src_jsc/AnySdk/headers.jsc,src_jsc/AnySdk/AnySdkHelp_js.jsc,top-level,,AnySdk/AnySdkHelp_js.js,29
src_jsc/AnySdk/headers.jsc,src_jsc/AnySdk/AnySdkCallback.jsc,top-level,,AnySdk/AnySdkCallback.js,31
src_jsc/Audio/headers.jsc,src_jsc/Audio/Engine.jsc,top-level,,Audio/Engine.js,27
src_jsc/Cfg/Fight/headers.jsc,src_jsc/Cfg/Fight/NewPlayerFight.jsc,top-level,,Cfg/Fight/NewPlayerFight.js,29
src_jsc/Cfg/Fight/headers.jsc,src_jsc/Cfg/Fight/SkillPreview.jsc,top-level,,Cfg/Fight/SkillPreview.js,31
src_jsc/Cfg/Resource/headers.jsc,src_jsc/Cfg/Resource/Path.jsc,top-level,,Cfg/Resource/Path.js,29
src_jsc/Cfg/Resource/headers.jsc,src_jsc/Cfg/Resource/Head.jsc,top-level,,Cfg/Resource/Head.js,31
src_jsc/Cfg/Resource/headers.jsc,src_jsc/Cfg/Resource/Card.jsc,top-level,,Cfg/Resource/Card.js,33
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_combat_level_conf.jsc,top-level,,/sgs_combat_level_conf.js,123
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_config_btn.jsc,top-level,,/sgs_config_btn.js,127
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_config_label.jsc,top-level,,/sgs_config_label.js,131
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_dungeon_plot_conf.jsc,top-level,,/sgs_dungeon_plot_conf.js,135
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_dungeon_plot_dialog.jsc,top-level,,/sgs_dungeon_plot_dialog.js,139
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_eated_exp_conf.jsc,top-level,,/sgs_eated_exp_conf.js,143
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_equipments.jsc,top-level,,/sgs_equipments.js,147
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_fates.jsc,top-level,,/sgs_fates.js,151
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_general_surrender.jsc,top-level,,/sgs_general_surrender.js,155
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_generals.jsc,top-level,,/sgs_generals.js,159
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_global_conf.jsc,top-level,,/sgs_global_conf.js,163
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_i18n.jsc,top-level,,/sgs_i18n.js,167
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_insight_grow_type.jsc,top-level,,/sgs_insight_grow_type.js,171
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_item.jsc,top-level,,/sgs_item.js,175
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_map_conf.jsc,top-level,,/sgs_map_conf.js,179
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_random_name.jsc,top-level,,/sgs_random_name.js,183
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_refine_conf.jsc,top-level,,/sgs_refine_conf.js,187
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_resource.jsc,top-level,,/sgs_resource.js,191
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_sell_conf.jsc,top-level,,/sgs_sell_conf.js,195
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_skill_effect.jsc,top-level,,/sgs_skill_effect.js,199
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_skills.jsc,top-level,,/sgs_skills.js,203
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_surrender.jsc,top-level,,/sgs_surrender.js,207
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_upgrade_coin_conf.jsc,top-level,,/sgs_upgrade_coin_conf.js,211
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_upgrade_exp_conf.jsc,top-level,,/sgs_upgrade_exp_conf.js,215
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_user_level_conf.jsc,top-level,,/sgs_user_level_conf.js,219
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_vip_level_conf.jsc,top-level,,/sgs_vip_level_conf.js,223
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_lieutenant_skill.jsc,top-level,,/sgs_lieutenant_skill.js,227
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_buddy_conf.jsc,top-level,,/sgs_buddy_conf.js,231
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_dungeon_conf.jsc,top-level,,/sgs_dungeon_conf.js,235
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_union_war_battle_conf.jsc,top-level,,/sgs_union_war_battle_conf.js,239
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_gem.jsc,top-level,,/sgs_gem.js,243
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_skill_advanced_conf.jsc,top-level,,/sgs_skill_advanced_conf.js,247
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_magic_buff_conf.jsc,top-level,,/sgs_magic_buff_conf.js,251
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_world_war_schedule.jsc,top-level,,/sgs_world_war_schedule.js,255
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_godness.jsc,top-level,,/sgs_godness.js,259
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_godness_skin.jsc,top-level,,/sgs_godness_skin.js,263
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_hulao_reward_conf.jsc,top-level,,/sgs_hulao_reward_conf.js,267
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_melt_conf.jsc,top-level,,/sgs_melt_conf.js,271
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_function_level_conf.jsc,top-level,,/sgs_function_level_conf.js,275
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_meridian_top_conf.jsc,top-level,,/sgs_meridian_top_conf.js,279
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_meridian_conf.jsc,top-level,,/sgs_meridian_conf.js,283
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_meridian_point_conf.jsc,top-level,,/sgs_meridian_point_conf.js,287
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_godness_fates.jsc,top-level,,/sgs_godness_fates.js,291
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_skill_melt_conf.jsc,top-level,,/sgs_skill_melt_conf.js,295
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_evolution.jsc,top-level,,/sgs_evolution.js,299
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_evolution_open_conf.jsc,top-level,,/sgs_evolution_open_conf.js,303
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_evolution_buff_conf.jsc,top-level,,/sgs_evolution_buff_conf.js,307
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_evolution_surrender.jsc,top-level,,/sgs_evolution_surrender.js,311
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_beauty_conf_detail.jsc,top-level,,/sgs_beauty_conf_detail.js,315
src_jsc/Cfg/headers.jsc,data_cn_jsc/plan/sgs_skill_refine_conf.jsc,top-level,,/sgs_skill_refine_conf.js,319
src_jsc/Cfg/headers.jsc,data_cn_jsc/art/sgs_config_ttf.jsc,top-level,,/sgs_config_ttf.js,330
src_jsc/Cfg/headers.jsc,data_cn_jsc/art/sgs_config_ls.jsc,top-level,,/sgs_config_ls.js,334
src_jsc/Cfg/headers.jsc,data_cn_jsc/art/sgs_config_bmf.jsc,top-level,,/sgs_config_bmf.js,338
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Constant.jsc,top-level,,Cfg/Constant.js,377
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Label.jsc,top-level,,Cfg/Label.js,379
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Meta.jsc,top-level,,Cfg/Meta.js,381
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Resource/headers.jsc,top-level,,Cfg/Resource/headers.js,383
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Langage.jsc,top-level,,Cfg/Langage.js,385
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Scene.jsc,top-level,,Cfg/Scene.js,387
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Animate.jsc,top-level,,Cfg/Animate.js,389
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Sprite.jsc,top-level,,Cfg/Sprite.js,391
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Armature.jsc,top-level,,Cfg/Armature.js,393
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Audio.jsc,top-level,,Cfg/Audio.js,395
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Font.jsc,top-level,,Cfg/Font.js,397
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/BMFont.jsc,top-level,,Cfg/BMFont.js,399
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/String.jsc,top-level,,Cfg/String.js,401
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Url.jsc,top-level,,Cfg/Url.js,403
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Particle.jsc,top-level,,Cfg/Particle.js,405
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/CCBI.jsc,top-level,,Cfg/CCBI.js,407
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Btn.jsc,top-level,,Cfg/Btn.js,409
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Guide.jsc,top-level,,Cfg/Guide.js,411
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/Fight/headers.jsc,top-level,,Cfg/Fight/headers.js,413
src_jsc/Cfg/headers.jsc,src_jsc/Cfg/alias.jsc,top-level,,Cfg/alias.js,415
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.jsc,top-level,,Core/Cocos2d-x/jsb_cocos2d_constants.js,14
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d.jsc,top-level,,Core/Cocos2d-x/jsb_cocos2d.js,21
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d_extension.jsc,top-level,,Core/Cocos2d-x/jsb_cocos2d_extension.js,28
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_cocos2d_studio.jsc,top-level,,Core/Cocos2d-x/jsb_cocos2d_studio.js,35
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_chipmunk_constants.jsc,top-level,,Core/Cocos2d-x/jsb_chipmunk_constants.js,42
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_chipmunk.jsc,top-level,,Core/Cocos2d-x/jsb_chipmunk.js,49
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_opengl_constants.jsc,top-level,,Core/Cocos2d-x/jsb_opengl_constants.js,56
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_opengl.jsc,top-level,,Core/Cocos2d-x/jsb_opengl.js,63
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_cocosbuilder.jsc,top-level,,Core/Cocos2d-x/jsb_cocosbuilder.js,70
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_sys.jsc,top-level,,Core/Cocos2d-x/jsb_sys.js,77
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/jsb_deprecated.jsc,top-level,,Core/Cocos2d-x/jsb_deprecated.js,84
src_jsc/Core/Cocos2d-x/jsb.jsc,src_jsc/Core/Cocos2d-x/CCNotificationCenter.jsc,top-level,,Core/Cocos2d-x/CCNotificationCenter.js,91
