kind,name,count,source_sites
member,"cc.ACTION_TAG_INVALID",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:73"
member,"cc.ANIMATION_FRAME_DISPLAYED_NOTIFICATION",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:291"
member,"cc.ATTRIBUTE_NAME_COLOR",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:295"
member,"cc.ATTRIBUTE_NAME_POSITION",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:297"
member,"cc.ATTRIBUTE_NAME_TEX_COORD",1,"src_jsc/Core/Cocos2d-x/jsb_cocos2d_constants.js:299"
member,"cc.Action.clone",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:29"
member,"cc.Action.copy",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:29"
member,"cc.Action.prototype.clone.apply",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:31"
member,"cc.Action.prototype.copy",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:24"
member,"cc.Animate.create",2,"src_jsc/Factorys/Animate.js:34;src_jsc/Factorys/Skill/Item/Timeline.js:228"
member,"cc.Animation.clone",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:39"
member,"cc.Animation.copy",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:39"
member,"cc.Animation.create",1,"src_jsc/Factorys/Animate.js:18"
member,"cc.Animation.prototype.clone.apply",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:41"
member,"cc.Animation.prototype.copy",1,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:34"
member,"cc.AnimationCache.destroyInstance",2,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:19;src_jsc/Core/Cocos2d-x/jsb_deprecated.js:21"
member,"cc.AnimationCache.purgeSharedAnimationCache",2,"src_jsc/Core/Cocos2d-x/jsb_deprecated.js:17;src_jsc/Core/Cocos2d-x/jsb_deprecated.js:19"
member,"cc.Armature",1,"src_jsc/Libs/Views/Armature/BaseArmature.js:15"
