tree,relative_path,output_path,input_bytes,status,bytecode_scripts,instructions,functions,error
data_cn_jsc,art/sgs_config_bmf.jsc,data_cn_jsc/art/sgs_config_bmf.js.disasm.txt,1942,ok,1,108,0,
data_cn_jsc,art/sgs_config_ls.jsc,data_cn_jsc/art/sgs_config_ls.js.disasm.txt,12315,ok,1,1229,0,
data_cn_jsc,art/sgs_config_ttf.jsc,data_cn_jsc/art/sgs_config_ttf.js.disasm.txt,12701,ok,1,2867,0,
data_cn_jsc,plan/cfg_evolution_total_buff.jsc,data_cn_jsc/plan/cfg_evolution_total_buff.js.disasm.txt,165851,ok,1,58268,0,
data_cn_jsc,plan/sgs_beauty_conf_detail.jsc,data_cn_jsc/plan/sgs_beauty_conf_detail.js.disasm.txt,27913,ok,1,4678,0,
data_cn_jsc,plan/sgs_buddy_conf.jsc,data_cn_jsc/plan/sgs_buddy_conf.js.disasm.txt,951,ok,1,152,0,
data_cn_jsc,plan/sgs_combat_level_conf.jsc,data_cn_jsc/plan/sgs_combat_level_conf.js.disasm.txt,77636,ok,1,14064,0,
data_cn_jsc,plan/sgs_config_btn.jsc,data_cn_jsc/plan/sgs_config_btn.js.disasm.txt,493,ok,1,22,0,
data_cn_jsc,plan/sgs_config_label.jsc,data_cn_jsc/plan/sgs_config_label.js.disasm.txt,11440,ok,1,1584,0,
data_cn_jsc,plan/sgs_dungeon_conf.jsc,data_cn_jsc/plan/sgs_dungeon_conf.js.disasm.txt,57202,ok,1,8042,0,
data_cn_jsc,plan/sgs_dungeon_plot_conf.jsc,data_cn_jsc/plan/sgs_dungeon_plot_conf.js.disasm.txt,30713,ok,1,5490,0,
data_cn_jsc,plan/sgs_dungeon_plot_dialog.jsc,data_cn_jsc/plan/sgs_dungeon_plot_dialog.js.disasm.txt,441052,ok,1,47159,0,
data_cn_jsc,plan/sgs_eated_exp_conf.jsc,data_cn_jsc/plan/sgs_eated_exp_conf.js.disasm.txt,9932,ok,1,1646,0,
data_cn_jsc,plan/sgs_equipments.jsc,data_cn_jsc/plan/sgs_equipments.js.disasm.txt,79010,ok,1,12322,0,
data_cn_jsc,plan/sgs_evolution.jsc,data_cn_jsc/plan/sgs_evolution.js.disasm.txt,7966,ok,1,628,0,
data_cn_jsc,plan/sgs_evolution_buff_conf.jsc,data_cn_jsc/plan/sgs_evolution_buff_conf.js.disasm.txt,198823,ok,1,46632,0,
data_cn_jsc,plan/sgs_evolution_open_conf.jsc,data_cn_jsc/plan/sgs_evolution_open_conf.js.disasm.txt,16440,ok,1,1744,0,
data_cn_jsc,plan/sgs_evolution_surrender.jsc,data_cn_jsc/plan/sgs_evolution_surrender.js.disasm.txt,9993,ok,1,1372,0,
data_cn_jsc,plan/sgs_fates.jsc,data_cn_jsc/plan/sgs_fates.js.disasm.txt,314177,ok,1,50348,0,
data_cn_jsc,plan/sgs_function_level_conf.jsc,data_cn_jsc/plan/sgs_function_level_conf.js.disasm.txt,5192,ok,1,531,0,
data_cn_jsc,plan/sgs_gem.jsc,data_cn_jsc/plan/sgs_gem.js.disasm.txt,7597,ok,1,872,0,
data_cn_jsc,plan/sgs_general_surrender.jsc,data_cn_jsc/plan/sgs_general_surrender.js.disasm.txt,72508,ok,1,9328,0,
data_cn_jsc,plan/sgs_generals.jsc,data_cn_jsc/plan/sgs_generals.js.disasm.txt,237241,ok,1,34032,0,
data_cn_jsc,plan/sgs_global_conf.jsc,data_cn_jsc/plan/sgs_global_conf.js.disasm.txt,15942,ok,1,620,0,
data_cn_jsc,plan/sgs_godness.jsc,data_cn_jsc/plan/sgs_godness.js.disasm.txt,4355,ok,1,493,0,
data_cn_jsc,plan/sgs_godness_fates.jsc,data_cn_jsc/plan/sgs_godness_fates.js.disasm.txt,5033,ok,1,521,0,
data_cn_jsc,plan/sgs_godness_skin.jsc,data_cn_jsc/plan/sgs_godness_skin.js.disasm.txt,1271,ok,1,184,0,
data_cn_jsc,plan/sgs_hulao_reward_conf.jsc,data_cn_jsc/plan/sgs_hulao_reward_conf.js.disasm.txt,1357,ok,1,212,0,
data_cn_jsc,plan/sgs_i18n.jsc,data_cn_jsc/plan/sgs_i18n.js.disasm.txt,3055529,ok,1,271371,0,
data_cn_jsc,plan/sgs_insight_grow_type.jsc,data_cn_jsc/plan/sgs_insight_grow_type.js.disasm.txt,5107,ok,1,949,0,
data_cn_jsc,plan/sgs_item.jsc,data_cn_jsc/plan/sgs_item.js.disasm.txt,1417244,ok,1,226210,0,
data_cn_jsc,plan/sgs_lieutenant_skill.jsc,data_cn_jsc/plan/sgs_lieutenant_skill.js.disasm.txt,2643,ok,1,448,0,
data_cn_jsc,plan/sgs_magic_buff_conf.jsc,data_cn_jsc/plan/sgs_magic_buff_conf.js.disasm.txt,635939,ok,1,158068,0,
data_cn_jsc,plan/sgs_map_conf.jsc,data_cn_jsc/plan/sgs_map_conf.js.disasm.txt,250,ok,1,8,0,
data_cn_jsc,plan/sgs_melt_conf.jsc,data_cn_jsc/plan/sgs_melt_conf.js.disasm.txt,3505,ok,1,566,0,
data_cn_jsc,plan/sgs_meridian_conf.jsc,data_cn_jsc/plan/sgs_meridian_conf.js.disasm.txt,10539,ok,1,3624,0,
