;; Input: /home/inkbottle/othersrc/android_playground/sgscq-reconstruction/Resources/assets/src_jsc/Views/DecisiveBattle/headers.jsc
;; XDR magic: 0xb973c051
;; SpiderMonkey v22 bytecode disassembly (debug build)


;; nested bytecode depth=0
--- SCRIPT /Users/zhanglinsen/workspace/bianfeng/sgscq1-china-client/projects/sgscq/Resources/src_jsc/Views/DecisiveBattle/headers.js:1 ---
loc   line  op
----- ----  --
main:
00000:   5  name "xs"
00005:   5  getprop "Views"
00010:   5  name "xs"
00015:   5  getprop "Views"
00020:   5  getprop "DecisiveBattle"
00025:   5  or 37 (+12)
00030:   5  pop
00031:   5  newinit 1
00036:   5  endinit
00037:   5  setprop "DecisiveBattle"
00042:   5  popv
00043:   7  name "xs"
00048:   7  getprop "Utils"
00053:   7  dup
00054:   7  callprop "require"
00059:   7  swap
00060:   7  notearg
00061:   8  newarray 7
00065:   9  string "Views/DecisiveBattle/DecisiveBattleMainView.js"
00070:   9  initelem_array 0
00074:  10  string "Views/DecisiveBattle/SupportRecordView.js"
00079:  10  initelem_array 1
00083:  11  string "Views/DecisiveBattle/SupportPointsExchangeView.js"
00088:  11  initelem_array 2
00092:  12  string "Views/DecisiveBattle/SupportRankingDialog.js"
00097:  12  initelem_array 3
00101:  13  string "Views/DecisiveBattle/DecisiveBattlePreviewView.js"
00106:  13  initelem_array 4
00110:  14  string "Views/DecisiveBattle/OutPlayersDialog.js"
00115:  14  initelem_array 5
00119:  15  string "Views/DecisiveBattle/OneRoundPlayerListDialog.js"
00124:  15  initelem_array 6
00128:  15  endinit
00129:  15  notearg
00130:  15  call 1
00133:  15  popv
00134:  16  stop
--- END SCRIPT /Users/zhanglinsen/workspace/bianfeng/sgscq1-china-client/projects/sgscq/Resources/src_jsc/Views/DecisiveBattle/headers.js:1 ---
