tree,relative_path,instructions,functions
data_cn_jsc,plan/cfg_evolution_total_buff.jsc,58268,0
data_cn_jsc,plan/sgs_upgrade_guide_conf.jsc,1,0
src_jsc,AppAwake.jsc,7,0
src_jsc,Cfg/Notification.jsc,11,0
src_jsc,Core/Cocos2d-x/jsb_debugger.jsc,2166,34
src_jsc,Core/Cocos2d-x/main.debug.jsc,65,0
src_jsc,Factorys/Fate.jsc,42,1
src_jsc,MemoryWarning.jsc,50,0
src_jsc,Models/RandomNameCfg.jsc,381,14
src_jsc,Prototype/CCNode.jsc,1,0
src_jsc,Scene/Ladder/headers.jsc,1,0
src_jsc,Scene/LoadingScene.jsc,337,5
src_jsc,Scene/SubMenu/headers.jsc,31,0
src_jsc,Scene/Vip/VipScene.jsc,728,15
src_jsc,Scene/alias.jsc,1,0
src_jsc,Utils/Ccb.jsc,12,0
src_jsc,Views/Dialog/Achievement.jsc,1,0
src_jsc,Views/Dialog/AnnouncementExt.jsc,416,6
src_jsc,Views/Dialog/DevelopInstruction.jsc,317,6
src_jsc,Views/FeedBack.jsc,495,8
src_jsc,Views/Label/LabelBMF.jsc,32,1
src_jsc,Views/Label/LabelTTF.jsc,32,1
src_jsc,Views/Table/Cell/BaseCcbCell.jsc,151,7
src_jsc,Views/Table/Cell/BaseShortCardInfoCell.jsc,1,0
src_jsc,Views/UpgradeCard/SkillUpgradeCard.jsc,64,2
