action,request_path,request_encoding,play_stage,client_evidence,request_fields,response_fields,cmn_effect,static_config_dependencies,persistence_entities,implementation_status,handling_class,test_fixture,device_validation,risk,next_step
account.bindWithBf,/index.php?do=account.bindWithBf,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:135"",""docs/ref/account.md#accountbindWithBf"",""Views/Dialog/BindingDialog.js:318 (onBfSdkLoginSucess)""]","[""sessionId"",""uid""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
account.bindWithEasysdk,/index.php?do=account.bindWithEasysdk,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:137"",""docs/ref/account.md#accountbindWithEasysdk"",""Scene/Setting/SettingScene.js:259 (getEasySessionIdforBinding)""]","[""easy_uid"",""session_id"",""uid""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
account.bindWithFacebook,/index.php?do=account.bindWithFacebook,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:136"",""docs/ref/account.md#accountbindWithFacebook"",""Scene/Setting/SettingScene.js:233 (getNewSessionId)""]","[""sessionId"",""uid""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
account.chgAccountInfo,/index.php?do=account.chgAccountInfo,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""ReconstructedJS/src_jsc/Cfg/Url.js:138"",""docs/ref/account.md#accountchgAccountInfo"",""Views/Dialog/BindingTelDialog.js:131 (init)""]","[""mobile_num"",""uid""]",[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
account.index,/index.php?do=account.index,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),1-2 启动、选服与主城,"[""ReconstructedJS/src_jsc/Cfg/Url.js:120"",""docs/ref/account.md#accountindex"",""Scene/Login/LoginScene_AnySdk.js:440 (onAnySdkLoginSucess)"",""Scene/Login/LoginScene_AnySdk.js:694 (onVisitorBtnClick)"",""Scene/Login/LoginScene_AnySdk.js:710 (onBfSdkLoginSucess)"",""Scene/Login/LoginScene_BfSdk.js:588 (onVisitorBtnClick)"",""Scene/Login/LoginScene_BfSdk.js:613 (checkGetOpenUDID)"",""Scene/Login/LoginScene_BfSdk.js:634 (onBfSdkLoginSucess)"",""Scene/Login/LoginScene_EasyGuestSdk.js:190 (_onVisitorBtnClick)"",""Scene/Login/LoginScene_EasyGuestSdk.js:391 (onEasySdkLoginSuccess)"",""Scene/Login/LoginScene_EasySdk.js:292 (onEasySdkLoginSuccess)"",""Scene/Login/LoginScene_ThirdGuestSdk.js:385 (onVisitorBtnClick)"",""Scene/Login/LoginScene_ThirdGuestSdk.js:493 (onThirdSdkLoginSucess)"",""Scene/Login/LoginScene_ThirdSdk.js:416 (onThirdSdkLoginSucess)""]","[""app_indentify"",""extra"",""logintype"",""session"",""sessionId"",""uid""]","[""account_info.account_uid"",""server_list"",""server_list.length"",""server_logined_list"",""server_params"",""token"",""user_auth""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,"accounts, sessions",IMPLEMENTED_LOCAL_SLICE,CLIENT_BOOTSTRAP,HTTP integration test,NOT DEVICE VERIFIED,"Current handler covers only the local reconstruction slice; verify full response, rules, costs, and restart behavior.","Extend behavior from client evidence; add success, legal refusal, retry, persistence, and device checks."
activity.exchange,/index.php?do=activity.exchange,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:25"",""docs/ref/activity.md#activityexchange"",""Views/Dialog/MultiItemExchangeDialog.js:116 (onClick)""]","[""exchange_id"",""instance_id"",""num"",""user_id""]","[""activity_exchange"",""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
activity.gamble,/index.php?do=activity.gamble,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:24"",""docs/ref/activity.md#activitygamble"",""Views/Dialog/SlotMachinesActivities.js:351 (onStartBtn)""]","[""activity_push"",""forcePush"",""forcepush"",""instance_id"",""user_id""]","[""add_list.num"",""gamble""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
activity.receive,/index.php?do=activity.receive,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:22"",""docs/ref/activity.md#activityreceive"",""Scene/Party/MonthLegendDialog.js:96 (onBtnAwardCallBack)"",""Scene/Party/PartyDialog.js:235 (onBtnConfirmClickCallBack)"",""Scene/Party/PartyDialog.js:1334 (onBtnAwardCallBack)"",""Scene/Party/PartyDialogExt.js:263 (onBtnConfirmClickCallBack)"",""Scene/Party/PartyDialogExt.js:1029 (onBtnAwardCallBack)""]","[""cooperator"",""cooperator_server_id"",""extra_param"",""forcepush"",""instance_id""]","[""activity_list"",""add_list""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
activity.receivePower,/index.php?do=activity.receivePower,GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),8 日常与经济,"[""ReconstructedJS/src_jsc/Cfg/Url.js:23"",""docs/ref/activity.md#activityreceivePower"",""Scene/Party/PartyDialog.js:1693 (init)""]","[""activity_push"",""forcepush""]","[""timing_power""]",No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,NOT_IMPLEMENTED,GAMEPLAY_REQUIRED,missing,NOT DEVICE VERIFIED,Client has a recovered call path; returning not_implemented can block this feature.,"Trace full client consumer, config dependencies, state changes, and failure path; implement behavior + tests."
anysdkAccount.index,(内联拼接，不含固定前缀),GET; encodeURIComponent(JSON.stringify(data)); ingor_encrypt=1; optional zlib=1; sign=MD5(raw JSON + client constant),10 长尾 / 待核,"[""AnySdk/AnySdkHelp_js.js:23"",""docs/ref/anysdkAccount.md#anysdkAccountindex""]",[],[],No model hop extracted; inspect ref page and cmn consumers.,not resolved from endpoint alone,not implemented,DISABLED_BY_DESIGN,LEGACY_DISABLED,unit regression test,NOT DEVICE VERIFIED,"Intentionally unavailable; the handler must keep returning failure without creating orders, identity records, or grants.",Keep the corresponding client flow disabled and retain the explicit failure fixture.
